species,longitude,latitude,q5_depth,q95_depth,q5_velocity,q95_velocity,q5_ss,q95_ss,q5_slope,q95_slope,q5_reynolds,q95_reynolds,q5_froude,q95_froude
background,2264726.409,1864633.666,-0.539613,-0.8713018,0.0000162,0,0,0,1.2178919,0.2525168,2.7866182,0,0,0
background,2264372.278,1864641.081,0.4443819,-0.4935865,0.0006816,0,0,0,1.7705684,1.3342005,47.9643898,0,0,0
background,2264538.776,1864483.901,0.597401,-0.3606406,0.0000578,0,0,0,0.3126075,0.2436544,17.1651211,0,0,0
background,2264116.451,1864361.358,0.6106822,-0.305042,0.0012989,0,0,0,0.1482757,0.0843869,98.3319016,0,0.0000569,0
background,2264070.51,1864264.861,0.6929221,-0.2606495,0.0015389,0,0,0,0.4566346,0.195122,132.9136047,0,0.0001013,0
background,2264065.851,1864348.299,0.8332366,-0.3623441,0.0019122,0,0,0,0.3938685,0.0132963,108.4974899,0,0.0000094,0
background,2264281.681,1863993.83,0.3943891,-0.4982381,0.0016723,0,0,0,0.6272132,0.2087373,110.0284805,0,0.0001588,0
background,2263828.631,1864023.34,-0.6687517,-2.0986676,0.0003792,0.0000419,0,0,1.3095845,1.5256557,52.1617851,5.2834754,0.0000619,0
background,2264075.979,1864183.807,1.073243,-0.1185453,0.0019344,0,0,0,0.3186338,0.1651729,174.7193604,0,0.0000896,0
background,2264023.402,1864071.457,1.0982691,-0.130858,0.0021445,0,0,0,0.5679328,0.4170359,239.8873749,0,0.0001446,0
background,2264291.578,1864087.233,0.6217559,-0.647635,0.0009998,0,0,0,0.2521768,0.0173131,44.3848152,0,0.0000032,0
background,2264287.899,1864109.519,0.4654753,-0.6543446,0.0010233,0,0,0,0.7592801,0.1256558,49.1951523,0,0.0000797,0
background,2263590.506,1864081.175,0.7115049,-0.68026,0.000479,0.0004537,0,0,2.5844281,2.54582,104.2498779,68.3559113,0,0
background,2264015.821,1863753.321,-0.8385037,-0.6435642,0.0023603,0,0,0,2.7922413,0.49427,167.6663666,0,0.0007117,0
background,2263337.526,1863689.213,-0.0997349,-1.5190378,0.0001559,0.0008592,0,0,2.6591117,2.4712739,30.5924873,84.1352463,0.00008,0.0000779
background,2263913.43,1863793.049,-1.9006771,-1.005759,0.0011985,0.0000191,0,0,2.5645716,0.4194118,112.7762375,1.8687764,0.0003332,0
background,2264592.495,1863482.734,2.0571167,1.5485057,0.0009012,0,0,0,1.5072669,1.2013257,161.7378998,0,0,0
