species,latitude,longitude,q5_velocity,q5_ss,q5_reynolds,q5_froude,q5_depth,q5_slope,q95_velocity,q95_ss,q95_reynolds,q95_froude,q95_depth,q95_slope
mcat,1836282.369,2257186.976,2.480973,0.5303441,3775955.5,0.0999998,19.0592136,1.2692598,0.6295849,0.0371362,750644.375,0.0287387,14.8401909,1.2732322
mcat,1836580.276,2257108.143,2.430537,0.4996277,3921396.5,0.0949271,20.3434296,1.7677164,0.6132472,0.0347634,783496.1875,0.0269014,16.1034565,1.7715453
mcat,1836684.27,2257141.081,2.1303525,0.3985306,3136055.5,0.0872999,18.4024734,4.1041036,0.521105,0.0262584,593646.6875,0.0242609,14.1585913,4.1080265
mcat,1837077.783,2257147.506,1.6230484,0.2809662,1320843.75,0.0902009,10.131629,1.5600835,0.4170879,0.0228129,200281.6563,0.0306708,5.8670611,1.5601376
mcat,1837089.415,2257092.16,1.8287392,0.3257527,1993927.375,0.0890144,13.4421368,5.4646435,0.4606673,0.0240601,344209.2813,0.0281813,9.1782074,5.4641857
mcat,1837135.577,2257087.08,1.841634,0.3315634,1929907.875,0.090796,13.0391884,5.2912788,0.4702503,0.025261,331369.5,0.0288071,8.7745943,5.2940373
mcat,1837218.582,2256961.777,2.2335219,0.432337,3344893,0.0907932,18.7586803,4.6884413,0.5454839,0.0283127,630643.9375,0.0255463,14.487915,4.692102
mcat,1837514.147,2256951.81,1.7251759,0.2885588,1889918.5,0.0837344,13.6288338,7.6524487,0.4393529,0.0220559,328149.125,0.0270513,9.3435259,7.6458378
mcat,1835428.276,2257211.333,2.8203552,0.7036833,3995259,0.1190486,17.6309204,5.816174,0.67523,0.0443245,746124.625,0.0324784,13.4759817,5.819953
mcat,1836026.156,2257349.571,1.4315214,0.2790181,976838.25,0.1177139,6.0444307,7.994276,0.2637575,0.0143981,137729.0781,0.0188866,2.6685455,6.6485558
mcat,1836120.757,2257356.833,1.3903488,0.2512631,1033816.063,0.1051066,6.7563148,9.2949762,0.2708896,0.0136359,147758.1094,0.0190117,3.4099665,7.8040237
mcat,1836280.858,2257343.96,1.3346034,0.2391493,1105841.625,0.1246794,7.8369441,8.7021637,0.2548997,0.0106979,164153.5469,0.0161143,4.7541895,6.9058962
mcat,1835195.62,2257168.233,2.9989424,0.7702833,4583827.5,0.1212732,19.2193413,6.7149067,0.740985,0.0512575,895488.875,0.0340264,15.077486,6.7208652
mcat,1835230.504,2257222.963,2.7373521,0.6855009,3521123.25,0.1212684,15.9812737,3.5370908,0.6119032,0.0383941,597569.25,0.0316055,11.836731,3.5392246
mcat,1835341.424,2257229.228,2.7712171,0.7159309,3351512.5,0.1260965,15.0797377,4.7885618,0.6176643,0.0398177,554219.125,0.0327392,10.9337749,4.7808661
mcat,1835500.892,2257283.154,2.1244459,0.4652628,2174153.5,0.108407,12.1292925,7.5495467,0.456605,0.0255614,330833,0.0276717,7.965148,7.5604362
mcat,1835563.028,2257328.562,1.9126691,0.4171101,1419214.375,0.116024,8.7762899,4.2903595,0.396567,0.0235534,180187.4844,0.0296065,4.611886,4.2926836
mcat,1835953.672,2257307.92,1.6729589,0.2988962,1414632.75,0.0938636,10.3312168,2.0258377,0.3720858,0.0175233,197166.8125,0.0262636,6.1271067,2.0341961
mcat,1836286.916,2257288.195,1.6091033,0.26848,1736172.625,0.0865027,12.7953262,3.6211298,0.3602883,0.0156916,279951.5625,0.0208394,8.5670042,3.6308658
mcat,1836303.378,2257195.365,2.4385314,0.5155389,3677009.25,0.0987843,18.8432102,2.1349499,0.6164616,0.0359403,726757.8125,0.02829,14.6225615,2.1438231
mcat,1836403.059,2257310.802,1.4759047,0.247163,1233190.75,0.0976329,9.7068806,2.9742923,0.3274498,0.0150509,176803.1875,0.0233787,5.4743958,2.9703705
mcat,1836945.797,2257022.819,2.445267,0.517943,3646426.75,0.0995409,18.8311081,1.2537245,0.611245,0.0354474,705651.375,0.0283634,14.5809116,1.2558144
mcat,1836981.109,2257014.594,2.452682,0.5222195,3625254.5,0.1003179,18.6451111,0.2914374,0.6150119,0.0359201,702106.5,0.0287365,14.3944368,0.2980488
mcat,1837248.453,2256976.953,2.0602877,0.3786901,2870763.25,0.0872268,17.3485928,4.5727901,0.5098293,0.0256751,535583.875,0.0250192,13.0754309,4.5724311
mcat,1837332.878,2257069.431,1.6893923,0.3228222,1132483.75,0.1028304,8.4271793,1.2820613,0.4766802,0.0331743,157504.5781,0.0422923,4.1554942,1.2752721
mcat,1837392.322,2256941.966,2.0631166,0.3835464,2688260.5,0.0899579,16.4058228,0.8753635,0.5201911,0.0271217,501598.5938,0.026123,12.131093,0.8819376
mcat,1837341.926,2256906.599,2.3984432,0.5020126,3473908.5,0.0989388,18.234293,1.2626704,0.6147541,0.0362808,682124.625,0.0292078,13.9582672,1.2632277
mcat,1837567.313,2256856.986,2.2253542,0.4568705,2766267.75,0.0990941,15.5698595,3.0141177,0.5726404,0.0339123,517901.4688,0.0299017,11.287549,3.0132861
mcat,1837607,2256830.324,2.3138885,0.4847103,3031711.75,0.1004872,16.4470577,2.0024304,0.5968097,0.0357264,579712.4375,0.0301161,12.1612387,2.0071998
mcat,1837614.959,2256890.269,1.9055705,0.3552268,2068905.875,0.0922244,13.3551521,4.2831917,0.4921793,0.0272684,364295.25,0.0294297,9.0692501,4.2801523
mcat,1837268.284,2256942.32,2.1699166,0.4006889,3364293.75,0.0867108,19.5624275,2.0385652,0.5230879,0.0256438,633551.75,0.0233747,15.2866383,2.0351017
mcat,1827851.175,2255678.103,1.6478136,0.2814207,1445762.5,0.0879311,10.9804821,5.4039154,0.4534294,0.0245993,263654.5313,0.0303296,7.26057,5.3974915
mcat,1829682.023,2250152.363,1.4465808,0.2853852,553057.625,0.117065,4.769371,6.7056756,0.0684352,0.0009841,8636.561523,0.0106094,1.2638884,6.6995506
mcat,1829720.719,2250033.784,1.5071075,0.232415,1348521.375,0.0791743,11.2538528,4.6213551,0.1719223,0.0036685,106962.9922,0.0108158,7.7344451,4.6206312
mcat,1828955.972,2250222.702,1.7586405,0.3149609,1599684.75,0.0914272,11.5034466,1.9758843,0.2216987,0.0056241,139648.7969,0.0138462,8.0273914,1.9578434
mcat,1828451.335,2250729.281,0.8936266,0.1136017,306787.7188,0.0760356,4.2951841,2.8369427,0.1936233,0.0100708,14421.37402,0.037963,0.8337095,2.8409598
mcat,1828494.279,2251026.624,0.6960449,0.0604089,336793.0625,0.0496334,6.1103535,0.0154981,0.0253425,0,5360.14209,0.0029066,2.647459,0.0165131
mcat,1828358.438,2251032.734,0.8514979,0.0921195,397113.875,0.0617097,5.8894038,0.325199,0.0384582,0.000049,7510.501465,0.0044444,2.432153,0.3238679
mcat,1827381.14,2252938.462,2.3731267,0.6124403,1753062.625,0.1373074,9.3286591,2.1436238,0.4905787,0.0302883,226785.9219,0.0357129,5.8413076,2.1223967
mcat,1827282.729,2254285.5,1.8444067,0.3960171,1106772.75,0.1180577,7.5762777,0.6707774,0.3636856,0.018972,114595.7266,0.0319584,3.9788167,0.6705247
mcat,1826919.285,2253995.003,1.1023874,0.1531711,540861.8125,0.0783686,6.1789641,1.1535825,0.4108341,0.028165,85418.03125,0.0447585,2.6184301,1.1491114
mcat,1827219.481,2255247.776,1.2680758,0.207819,737536,0.0841837,6.6589584,3.3668959,0.28913,0.014936,90018.01563,0.0270282,3.0204811,3.2668431
mcat,1827211.583,2255134.405,2.1086822,0.4515078,1992447.75,0.109185,11.6920948,5.9053202,0.6207346,0.0447529,412074.3438,0.0395105,8.02985,5.9033141
mcat,1827943.468,2254055.581,2.2727191,0.5629255,1666324.75,0.1320393,9.2565155,0.047463,0.5875766,0.0441419,262820.625,0.0439808,5.6444831,0.0471705
mcat,1826996.758,2253581.321,2.3623936,0.6333065,1535160.875,0.1455421,8.2070608,0.8730298,0.6114606,0.0511006,226825.9844,0.0498573,4.6883316,0.8801496
mcat,1831707.262,2250912.683,1.5276508,0.2873079,790992.5,0.1063547,6.4727798,4.2886724,0.1337414,0.0029652,33111.58203,0.0139397,2.8497126,4.2892623
mcat,1831433.175,2250806.704,1.3026805,0.2490567,461206.8438,0.1157849,4.1883421,6.0596194,0.0820747,0.0018496,8736.829102,0.0151018,0.6943018,5.462616
mcat,1830805.16,2250535.411,1.519793,0.2773373,844428.6875,0.1013267,6.9901752,5.0046573,0.2189808,0.007347,59805.36328,0.0211372,3.4177966,4.9990826
